attacker_id,total_events,systems_targeted,targets,address_scope
A0797,125,1,Cowrie,global
A0798,125,1,Cowrie,global
A0799,125,1,Cowrie,global
A0800,125,1,Cowrie,global
A0801,125,1,Cowrie,global
A0802,125,1,Cowrie,global
A0803,125,1,Cowrie,global
A0804,125,1,Cowrie,global
A0805,125,1,Cowrie,global
A0806,125,1,Cowrie,global
A0807,125,1,Cowrie,global
A0808,125,1,Cowrie,global
A0809,125,1,Cowrie,global
A0810,125,1,Cowrie,global
A0811,125,1,Cowrie,global
A0812,125,1,Cowrie,global
A0813,125,1,Cowrie,global
A0814,125,1,Cowrie,global
A0815,125,1,Cowrie,global
A0816,125,1,Cowrie,global
A0817,125,1,Cowrie,global
A0818,125,1,Cowrie,global
A0819,125,1,Cowrie,global
A0820,125,1,Cowrie,global
A0821,125,1,Cowrie,global
A0822,125,1,Cowrie,global
A0823,125,1,Cowrie,global
A0824,125,1,Cowrie,global
A0825,125,1,Cowrie,global
A0826,125,1,Cowrie,global
A0827,125,1,Cowrie,global
A0828,125,1,Cowrie,global
A0829,125,1,Cowrie,global
A0830,125,1,Cowrie,global
A0831,125,1,Cowrie,global
A0832,125,1,Cowrie,global
A0833,125,1,Cowrie,global
A0834,125,1,Cowrie,global
A0835,125,1,Cowrie,global
A0836,125,1,Cowrie,global
A0837,125,1,Cowrie,global
A0838,125,1,Cowrie,global
A0839,125,1,Cowrie,global
A0840,125,1,Cowrie,global
A0841,125,1,Cowrie,global
A0842,125,1,Cowrie,global
A0843,125,1,Cowrie,global
A0844,125,1,Cowrie,global
A0845,125,1,Cowrie,global
A0846,125,1,Cowrie,global
A0847,125,1,Cowrie,global
A0848,125,1,Cowrie,global
A0849,125,1,Cowrie,global
A0850,125,1,Cowrie,global
A0851,125,1,Cowrie,global
A0852,125,1,Cowrie,global
A0853,125,1,Cowrie,global
A0854,125,1,Cowrie,global
A0855,125,1,Cowrie,global
A0856,125,1,Cowrie,global
A0857,125,1,Cowrie,global
A0858,125,1,Cowrie,global
A0859,125,1,Cowrie,global
A0860,125,1,Cowrie,global
A0861,125,1,Cowrie,global
A0862,125,1,Cowrie,global
